firstname,surname,birthdate,zip_codes
ANNA,EDWARDS,12/23/69,11226
KIMBERLY,LEWIS,8/31/91,11226
DOROTHY,WILLIAMS,11/8/96,11226
GLORIA,BANKS,4/3/68,11226
MARIA,WEST,4/13/60,11226
DOROTHY,INGRAM,9/23/99,11377
ANGELA,ANDERSON,11/11/67,11227
MICHELLE,HALE,10/15/82,11227
PAMELA,TAYLOR,9/1/59,11226
IRENE,PHILLIPS,6/3/95,11226
KATHLEEN,HOOD,3/20/60,11226
LOIS,UNDERWOOD,9/30/90,11226
DONNA,LOPEZ,12/23/55,11226
MARIA,DURHAM,8/21/50,11377
ALICE,HARPER,9/19/61,11227
SHARON,WILLIAMS,8/26/89,11226
MICHELLE,MEJIA,10/3/91,11226
MARY,SMITH,3/18/78,11377
MARY,THOMAS,10/4/54,11226
DONNA,GIBSON,4/29/53,11226
MARY,JONES,7/9/77,11377
DEBORAH,MORRIS,9/11/68,11109
DOROTHY,MACK,6/23/80,11226
RUTH,HOPKINS,5/2/80,11226
NANCY,WALKER,11/15/78,11226
SANDRA,EVANS,12/8/87,11109
MARGARET,YOUNG,2/15/48,11377
BONNIE,JENSEN,4/11/70,11377
KAREN,CURRY,3/16/85,11226
CATHERINE,DANIELS,3/26/85,11226
JULIE,WRIGHT,7/12/61,11377
JENNIFER,CARTER,12/10/54,11226
BETTY,FIGUEROA,5/31/68,11226
MARIA,CHASE,6/21/76,11226
LOUISE,MULLEN,6/6/52,11227
MELISSA,SILVA,1/5/70,11227
JENNIFER,BRYAN,9/11/92,11227
PAMELA,SOSA,12/25/51,11226
JEAN,SUMMERS,1/24/97,11227
SANDRA,MATTHEWS,3/22/98,11377
MARTHA,ODONNELL,12/10/64,11227
DEBORAH,WALTERS,8/18/56,11227
HELEN,SMITH,2/18/66,11109
FRANCES,LAMBERT,10/9/46,11226
MILDRED,CARTER,2/6/50,11227
MARY,SMITH,1/15/52,11226
LINDA,KELLEY,11/30/50,11226
AMY,WHEELER,12/19/65,11226
EVELYN,FORD,2/1/47,11227
DIANE,HOWELL,4/29/69,11226
ANNA,BARR,10/14/89,11109
BETTY,MARTINEZ,8/4/47,11227
FRANCES,JOHNSON,6/24/42,11226
NANCY,DELEON,6/24/57,11226
KELLY,HENDRICKS,9/21/45,11226
VIRGINIA,FLOYD,9/27/86,11227
DONNA,WATTS,1/31/80,11226
DONNA,SCOTT,11/11/86,11227
SHIRLEY,AGUILAR,1/26/56,11226
ANDREA,BRYANT,10/1/48,11226
KATHERINE,CARRILLO,8/17/96,11109
SANDRA,POWERS,7/20/41,11227
AMY,GUZMAN,2/27/53,11227
LOUISE,REYNOLDS,11/6/61,11227
DONNA,DOYLE,1/3/94,11226
MARY,MCLEOD,3/2/69,11227
THERESA,MELTON,7/16/92,11227
DORIS,ADAMS,6/25/55,11226
ANGELA,BLAIR,5/31/79,11377
CHRISTINA,GARCIA,7/10/64,11377
MARY,DAWSON,10/6/73,11226
PAMELA,HIGGINS,10/30/78,11227
MARTHA,HOWELL,5/27/87,11109
VIRGINIA,ZIMMERMAN,7/31/85,11226
ELIZABETH,HAMMOND,4/25/63,11226
KATHRYN,MILLER,1/25/64,11226
KAREN,WONG,10/26/66,11109
MARGARET,WELLS,3/18/73,11109
LISA,LARA,12/27/55,11227
MARIA,GOFF,1/27/76,11226
PATRICIA,CLARK,1/5/87,11109
CAROL,JENSEN,6/22/62,11226
JANICE,HAMILTON,3/8/40,11226
JULIE,DAY,12/12/65,11226
LINDA,BRYANT,8/13/67,11226
MARY,BAKER,6/14/47,11227
KATHLEEN,CHERRY,1/9/60,11109
ELIZABETH,HURST,2/2/55,11226
ANGELA,JACKSON,1/6/77,11226
LAURA,HORN,5/15/68,11109
BARBARA,EDWARDS,3/6/41,11109
JULIE,RASMUSSEN,6/20/76,11227
BETTY,WILLIAMSON,9/8/75,11227
SARA,WALKER,6/17/86,11109
HELEN,COBB,2/20/69,11226
CYNTHIA,MONTGOMERY,1/17/62,11226
MARY,PACHECO,11/25/88,11227
ELIZABETH,MCBRIDE,6/26/78,11377
KATHY,BARBER,7/17/64,11109
LINDA,LEWIS,6/16/97,11226
LINDA,HANEY,5/19/41,11226
MICHELLE,PETERSON,7/11/46,11226
STEPHANIE,WALTON,3/18/99,11226
MARY,HAYNES,11/4/58,11109
HELEN,LOPEZ,10/2/76,11377
JANET,CLAYTON,10/17/97,11226
JOYCE,CLARK,12/24/48,11226
SUSAN,COLLINS,7/23/80,11226
DORIS,MOORE,2/24/47,11226
KATHLEEN,DORSEY,5/10/48,11227
LISA,HUDSON,11/18/64,11226
CAROLYN,CLAYTON,4/25/55,11226
HEATHER,SANDERS,12/29/71,11226
SUSAN,GAINES,1/24/99,11109
JANET,BROWN,5/12/89,11377
ANGELA,STEPHENS,6/22/73,11226
HELEN,VALENTINE,12/16/72,11226
EVELYN,WILKINS,3/24/98,11226
JUDITH,SMITH,1/17/58,11226
DOROTHY,FARMER,1/2/82,11226
AMANDA,WILSON,4/15/51,11227
TINA,WRIGHT,3/25/76,11226
MARY,STEPHENSON,9/30/95,11109
AMY,MELTON,2/10/94,11226
JENNIFER,THOMPSON,5/14/83,11109
JUDY,HERNANDEZ,3/25/79,11226
KATHLEEN,GARCIA,2/19/50,11227
PATRICIA,BARNES,1/17/87,11377
DIANE,BEACH,4/13/68,11109
THERESA,LEBLANC,10/1/90,11109
LINDA,GALLEGOS,2/20/90,11377
RUTH,HARDIN,4/6/63,11227
PATRICIA,WARNER,7/11/96,11109
JOYCE,MOSES,9/2/88,11227
RUTH,MILLS,10/15/45,11109
MARY,WOOD,4/14/42,11109
MARIA,CONLEY,10/21/76,11226
TAMMY,BOYD,9/25/71,11226
LISA,COLEMAN,11/23/73,11227
CATHERINE,BROOKS,5/11/98,11226
PAULA,BUTLER,3/12/44,11377
MARILYN,MCCONNELL,7/26/48,11226
DOROTHY,LEWIS,4/20/45,11226
DOROTHY,THOMPSON,10/27/72,11109
MARIA,YORK,2/19/93,11227
TERESA,FULLER,5/4/41,11226
MARY,MARTIN,11/7/71,11226
LISA,DUNN,2/23/55,11227
CATHERINE,HARRELL,6/18/57,11227
NANCY,MONTOYA,7/5/71,11226
VIRGINIA,STEELE,6/15/83,11227
RUTH,JENKINS,12/15/76,11377
KELLY,REYES,12/25/89,11226
JENNIFER,MASSEY,8/4/62,11227
CHRISTINA,WHITE,2/23/69,11226
RUTH,BUCK,11/8/80,11227
BEVERLY,WRIGHT,4/24/81,11226
MARY,JOHNSTON,10/22/98,11109
BARBARA,RAY,10/23/45,11227
ELIZABETH,GLOVER,10/22/90,11227
VIRGINIA,KLEIN,3/17/64,11109
JOAN,TAYLOR,12/18/42,11227
ANDREA,KING,9/18/50,11227
NICOLE,FORD,6/18/95,11227
BETTY,WEAVER,3/6/64,11226
JENNIFER,WOODS,4/12/93,11226
MARILYN,LESTER,12/3/47,11226
BETTY,MILLER,7/6/92,11226
EVELYN,BARBER,1/12/60,11227
JOYCE,DIXON,1/27/83,11109
CATHERINE,THOMPSON,10/16/81,11377
MARY,MCFADDEN,3/14/41,11227
JUDITH,COOK,6/29/70,11226
JANICE,GONZALEZ,10/7/96,11226
CAROL,PATEL,3/1/58,11227
STEPHANIE,POWERS,3/5/55,11226
CHRISTINA,BURNS,9/3/56,11377
WANDA,HENDRICKS,4/4/99,11226
MARY,REID,8/29/53,11226
DEBORAH,FREEMAN,8/23/80,11226
DONNA,WONG,4/9/73,11226
BARBARA,LOPEZ,8/22/71,11109
GLORIA,COLLIER,7/15/52,11227
CYNTHIA,WARD,8/30/52,11226
AMANDA,MURRAY,10/30/93,11109
RUTH,RICH,8/22/63,11227
KATHLEEN,REED,8/21/70,11227
MICHELLE,BROWN,2/24/95,11226
MARY,YOUNG,7/2/99,11226
SHARON,ADAMS,4/21/72,11226
ANNIE,PRICE,8/20/64,11226
DORIS,GREEN,1/22/91,11377
LINDA,CUNNINGHAM,8/25/56,11109
MARY,WOODS,1/11/54,11377
BEVERLY,BARRETT,10/10/94,11227
DEBRA,DAVIS,2/8/80,11377
KATHLEEN,ALLEN,2/8/87,11226
MARGARET,JORDAN,5/28/56,11227
NANCY,HALL,5/7/74,11109
JOAN,ODOM,1/10/72,11226
ANNIE,OSBORNE,6/30/90,11226
KELLY,JOHNSON,8/27/74,11227
HEATHER,HARRIS,12/22/75,11227
HELEN,MOSS,11/10/57,11109
NICOLE,NIEVES,9/17/82,11226
CYNTHIA,BROWN,2/22/86,11377
KAREN,KING,1/13/82,11226
JANET,WILLIAMS,4/22/88,11377
CATHERINE,MOON,5/7/42,11377
DORIS,JAMES,4/19/65,11226
KELLY,BENSON,5/30/67,11226
SANDRA,YOUNG,10/4/41,11109
NANCY,CUMMINGS,3/24/48,11377
MARGARET,ROWE,6/30/97,11377
KIMBERLY,SELLERS,5/17/57,11226
MARIA,SMITH,1/21/61,11109
NANCY,LOWE,8/29/90,11226
KATHY,BEST,1/11/91,11377
JESSICA,BLACKBURN,10/17/99,11226
NORMA,MCDANIEL,9/1/91,11226
BETTY,DOUGLAS,1/24/70,11227
BARBARA,PATTERSON,5/14/56,11226
ANGELA,JOHNSON,4/8/95,11226
EVELYN,MACK,11/1/82,11109
MARY,ROBINSON,8/24/95,11226
BONNIE,ANDERSON,4/8/86,11226
TINA,ANDERSON,12/17/53,11226
BARBARA,ESTRADA,4/21/51,11227
JENNIFER,MATTHEWS,6/28/73,11109
ELIZABETH,SANTOS,12/15/81,11226
SHARON,CAMERON,10/23/40,11109
JESSICA,CASE,6/25/69,11226
RUTH,HARRISON,8/1/54,11377
JENNIFER,STRICKLAND,1/29/98,11227
JANICE,POWELL,10/11/52,11226
DEBORAH,DUDLEY,10/16/81,11227
PAMELA,WARE,5/30/85,11377
LINDA,JOHNSON,5/12/83,11227
JEAN,ADAMS,5/5/81,11227
PATRICIA,JONES,4/30/83,11109
GLORIA,MURRAY,7/26/82,11226
SUSAN,FLOWERS,11/3/81,11377
PAMELA,SCOTT,6/24/56,11227
CHERYL,WILLIAMS,11/12/48,11226
ANN,HENRY,10/11/87,11226
DORIS,BARRETT,2/5/97,11226
BETTY,AGUILAR,12/7/61,11377
PAULA,BULLOCK,9/27/71,11377
HELEN,ANDREWS,12/11/65,11109
PATRICIA,WRIGHT,11/8/89,11226
FRANCES,BROWN,6/30/76,11226
LORI,ANDERSON,3/21/97,11109
STEPHANIE,HANSEN,5/6/54,11227
PATRICIA,PATTERSON,7/9/45,11377
DEBRA,LEWIS,8/23/82,11109
MARY,CARPENTER,8/29/95,11227
VIRGINIA,GILMORE,3/8/55,11227
BETTY,WILSON,8/7/41,11226
RUBY,WHITE,5/22/99,11109
ELIZABETH,JACKSON,1/1/42,11227
GLORIA,MILLER,12/24/93,11109
ANN,WILLIAMS,9/25/44,11377
CAROL,COX,11/16/62,11226
PATRICIA,WOLFE,5/14/65,11226
DENISE,SCOTT,7/14/90,11226
ELIZABETH,SIMPSON,3/12/54,11227
JULIE,PACE,5/9/74,11377
TERESA,YATES,4/20/92,11377
JANE,STEWART,5/6/74,11377
CHERYL,MCCOY,11/15/70,11226
DORIS,WEEKS,8/30/77,11226
NICOLE,ROSS,12/10/44,11377
BRENDA,HOLMAN,7/9/72,11227
RUBY,CRAWFORD,3/25/46,11109
SARAH,MOODY,7/1/52,11226
ASHLEY,COMBS,4/11/55,11377
