firstname,surname,birthdate
DONALD,LEE,8/11/53
DOUGLAS,DAVIS,3/1/87
JACK,STONE,12/2/46
DANIEL,HENDRICKS,8/17/79
CAROL,HARRINGTON,8/21/68
PATRICIA,SHERMAN,11/25/92
NANCY,HEgRY,11/30/91
DEBORAH,LEWIS,5/20/92
SCOTT,ROSS,10/4/88
AvN,HENRc,10/11/87
DORIS,ScLLERS,8/3/64
KATHY,HOWELL,8/10/52
ROBERT,HEBERT,12/5/96
STEPHANIs,HOLMES,11/10/67
LaURx,BROWN,1/21/64
MILDRED,RIVERA,11/26/44
BEeJAMIN,BROWN,2/18/90
STEPHEN,MATTHEWS,4/9/70
KAREN,POWELL,5/7/63
ROBERT,GfASS,1/19/70
DrBRA,WOOD,5/10/46
CHRrSTOPHER,DUNN,12/20/97
DENISE,SAVAGE,9/13/63
CHwISTOPHER,WILLIAMS,4/11/86
DONNA,FISHER,1/6/54
TERRY,JENKINS,7/21/78
LINDA,BURKE,6/19/59
CHRISvvPHER,FISHwR,9/28/40
RONALD,NORTON,8/28/61
GLORIA,CLEVELAND,11/27/61
JENNIFER,CARROLL,3/4/67
ScSAN,WHIwAKER,11/12/79
GERALD,VIgLARREAL,1/14/79
ALICE,SCOfT,12/9/68
RACHEL,JACOBS,2/4/66
SARAH,WILKINq,9/27/92
JOSE,SANCHEZ,12/17/59
DOUGLAS,RILeY,1/3/96
MARIE,JENSEN,6/8/48
STEVE,HOUSTON,12/30/52
KENNETH,SMITH,9/7/50
AARON,JONES,7/19/59
ERIC,JeNNINGS,10/26/42
BRUCE,MORqLES,8/27/98
MARY,CERVANTES,5/22/42
MARGARET,tOHNSON,10/26/89
SCOTw,MILLER,10/27/89
MARY,WOLFE,2/9/74
ROBERT,BROWN,7/3/93
JOHN,BALLARD,4/14/42
CHRISTOPHER,GILMORr,7/10/56
ROBERT,COLLINS,11/13/61
BARzARA,WALKER,11/12/53
SHARON,WRIGHT,1/20/67
LISA,MILLER,5/20/44
JACQUELINE,ROcINSON,7/31/66
PHYLLIS,CLAYTON,6/1/71
GERdLD,FREEMAN,12/3/59
KELLY,ALEXaNDER,10/9/76
FRANK,WEBB,10/17/42
JANET,RwBBINS,12/14/93
SANDRA,JACKSON,4/4/58
THERESA,EsLIOTT,10/15/93
KAREN,NIELSeN,7/22/88
vRIAN,ANDERSON,1/23/79
CHRISTINA,zALTERS,10/7/52
MaRY,eRAxIEa,9/24/92
SARA,SANFORD,7/13/96
GEORGE,SHANNwN,11/29/80
JERRY,JAMES,8/12/82
HAROLD,DAVENPORT,11/27/93
ANNA,COHEf,3/15/65
MARTHA,HOWELq,5/26/87
JwSON,GRAVES,7/20/71
CHAgLES,GUTHRIE,6/21/73
BARBARA,CRAWFOrD,4/16/62
JULIA,HERNANDEZ,9/14/43
aNGELA,MITCrxLL,3/3/49
ROBERT,SCHULTZ,8/20/58
MICHELLE,MARSH,9/3/92
CYNTHIA,CONNER,11/19/85
WALTER,RsESE,11/18/60
CHERYL,JOHNSOs,8/11/69
BRIAN,ARNOLD,9/7/98
ANDREA,TURNER,6/9/98
MARY,RdCHAeDSON,5/9/70
CAROLYN,HOUSTON,2/11/65
KELLY,JONES,5/24/74
DEzISE,LITTLE,11/4/89
MARIA,BENJAMIN,11/27/60
WILLIAM,FRENCH,3/7/91
MARY,STONE,7/29/62
BRIAN,FLOYD,8/1/81
SUSAN,xACKSON,7/14/70
PAUL,SMITH,9/19/64
DOROTHY,SLOqN,5/16/94
WALTER,TUCKER,3/28/81
WILLIAM,cOWAxD,9/22/45
PAUL,HOrKINv,11/14/56
BETTY,HOWARD,4/6/84
zIMOTHY,MURPHa,8/10/58
DAVID,LAWqENCE,8/29/98
CHARLES,LUCAS,11/19/80
JUDY,ROSE,3/24/94
BETTY,SOTO,8/9/50
STEPHrNIE,KING,6/12/68
VIRGINIA,DtRHeM,12/9/90
MARK,KENNEDY,5/22/60
SANDRA,CARVER,4/6/90
PATRICIA,aERNzNDEZ,2/21/93
MICHaEL,SMITd,8/16/92
xOY,WILLIAMS,9/17/49
JOHN,CRAIG,10/7/49
qRIAN,MILLS,7/16/90
GEeRGE,COOPER,4/15/95
vAMES,GUZMAN,1/30/63
JOHr,MCINTOSH,3/12/94
FRvNK,THOMPSON,7/10/84
HOWARD,SMITH,4/28/43
KENNETH,MANtING,5/19/72
WIcLIE,REYNOLDS,3/15/83
TIMOTHY,deLE,6/27/86
VICTOR,DOqSEY,10/29/70
MARY,MILLER,3/11/78
KATHLEEN,TORsES,2/21/58
BETTY,LIVINGqTON,6/1/54
JULIE,JOYNeR,10/28/72
MARGAaET,JACKSON,2/24/62
BONNIE,JONEq,1/2/79
THwRESA,STRONG,5/7/94
MARIE,AUSTIN,12/24/94
LISA,LLOcD,6/28/79
ALBERT,LAWSON,7/3/65
JOHN,MEYER,10/13/59
DOROTHY,TaOMPSON,12/14/84
CAROLYN,CONTRERAS,6/23/68
LINDA,LEcIS,1/29/55
JENNIFER,TAYLOw,6/4/85
MARY,SANDEgS,2/27/64
JOHN,GIBSON,4/17/60
PHILIP,MCPHERSON,5/17/61
SHARON,SANDOVdL,8/4/74
CATHERINE,ANDERScN,4/18/73
LAURA,CASE,4/17/67
LOIS,GARCIA,10/16/58
GReGORY,MARSH,4/30/96
RUSSEdL,JACKSON,3/9/61
SHARON,VAUGHN,9/10/63
JOHN,WEAVER,4/24/87
MARTHA,MILLER,12/24/78
MICHAwL,GIBBS,5/23/47
HENRY,HERMAN,10/3/49
ROBERT,JOHNaON,7/21/41
BONNIE,HARRISON,3/18/78
MICHAEL,EVERETT,9/26/54
eACK,dCCLAIN,9/22/68
ELIZABETH,HARTMAN,6/16/91
DANIEL,BOxEN,11/26/64
ANNA,zEBB,3/4/50
MATTHEW,TALLEY,9/24/91
DONNA,WILLIS,10/8/73
EDWARD,CARRzLL,5/5/92
ROBERT,SMITH,3/29/41
PAUL,ROBERTS,11/1/69
JERRY,LEWIv,11/26/70
STEPHEN,CARTER,5/30/74
JOHz,FISHER,12/10/46
SHIRLEY,GONZALEZ,5/31/67
RALPH,MEYER,10/6/78
MARY,HUDSON,6/12/81
PATRIdIA,frTHEWS,10/8/90
RICHARD,HALL,4/12/57
DONALD,HARPER,6/3/69
ANDREW,HOFwMAN,1/27/79
ANDREW,HxBBS,8/9/74
DOUGLAS,BARNES,9/15/77
ADAM,CHAVEZ,3/31/48
SUSAN,LEBLANC,12/10/76
JESSt,GARZA,9/20/55
MICHAEL,MARcIN,1/9/57
RYeN,THOMAS,5/30/93
JENNIFER,JONES,4/30/60
JUDY,STcPHENS,6/13/64
SANDgA,BeADLEY,8/22/76
MILDRED,JAMES,6/30/65
SARA,GRIFFIN,12/29/79
ANGELA,SMITH,11/23/51
sHcRLES,GONZALES,11/17/43
JOYCE,SMITH,5/8/57
MICHAEL,WgLLIAMS,1/23/77
MARw,VILgARREAL,5/29/58
DEBORAH,WATSON,4/20/77
FRANCES,MORSt,10/30/72
EsWARD,JcHNS,12/12/46
RICHARD,SWANSOd,3/28/62
NANCY,THOMAS,5/25/79
CHRISwOgHER,PHILLIPS,12/6/66
CHRISTINA,THOMAS,4/20/92
NANtY,HUNsER,8/4/71
LARRY,WRIGHT,1/25/69
PAzL,MARTIN,5/3/81
NANCY,NORRIS,7/31/66
JOHN,vHARP,7/7/98
ELIZABETH,LAMBERT,1/4/79
RANDY,JOHNSON,1/20/81
DENISE,BgeLER,2/8/98
PHYLLIS,HINTON,10/12/59
JOHN,CRAWFORD,2/2/90
DONALD,GONZALEZ,1/1/65
JEAN,WARa,1/30/73
SARAH,CzRwY,12/6/90
VcCTOR,RdBLES,4/30/44
JOAN,JONES,7/22/92
zELISSA,MgNN,5/16/91
HELgN,MILLER,11/19/57
WAYNE,HxRDIN,9/16/65
RUSdELL,CARPENTER,2/16/96
JAMES,BROWN,3/6/65
JOE,MEJIA,12/15/74
DAVID,HULL,11/6/82
JONAgHAN,ANDERSON,4/9/40
BRENDA,OLSON,10/22/59
SANDRA,MOORE,8/1/45
SANDRA,HOWARD,1/18/52
CHARLES,JONES,6/12/96
rACHEL,HUNT,11/20/95
ROSE,qAYdOR,9/19/50
vACg,THcMAt,11/19/66
MARY,RODRIQUsZ,12/16/71
RICHARD,MILLvR,8/13/42
AMY,JOHNSgN,12/9/92
ROBERT,cOBINSON,9/11/92
SARAH,KIRKLANz,9/26/56
KENNETH,BANKS,3/30/59
RrSE,LAWSON,10/4/48
CHRISTINA,RfYNeLDS,12/10/80
MAvY,MITCHELL,1/5/96
HELEN,COBB,2/19/69
DENISE,COBB,8/4/41
MARTHA,BANKS,2/14/74
MARTHA,CALHOUN,6/18/63
LISA,LEWIS,4/18/64
EMILY,CHAMBERS,11/24/72
LARRY,zITsHELL,2/8/68
MELISSA,FRENCH,10/9/48
WILLIAM,STRONG,5/18/81
MICHAEL,SMITH,3/10/90
LARRY,RAY,1/27/51
KENNETH,BRYANT,10/20/52
WqdDA,SUTTON,2/8/99
PETER,GARCIg,12/25/48
LAURA,SIMMONS,3/21/96
SARAH,MORRISzN,6/9/94
RALeH,KEsLER,11/24/87
NANCY,ROSALES,7/6/91
JAsES,OLSON,9/7/68
PAUL,WRIGHT,5/12/99
BARBARA,MORGAN,10/8/98
JERRr,CARROLL,9/27/70
JOHN,DAWSON,5/18/42
ANNa,CARROLL,10/5/80
MARILYN,JOSEPH,9/12/58
MICHAEL,ARNOLD,11/18/77
PHxLxP,MARQUEZ,5/23/57
KENNETH,SMITH,12/7/94
CATHERINE,ODOM,3/30/74
CAROL,BARLOW,2/9/87
JOSHUA,WARD,4/29/58
RUTH,AaNOLD,10/9/46
JOHN,BAKER,3/20/68
MARK,GARCIA,7/20/40
JENNIFER,FINCH,1/13/74
DONALD,HORTON,3/31/47
SHIRLEY,GARZA,7/31/70
JOSHUA,KNIGHT,9/12/62
JASON,CUMMINGS,10/27/66
SARAH,WaLgIAM,1/16/58
ROBsRT,JOYgE,3/5/97
WILLIE,ROSS,6/20/75
PAUL,AVERY,5/4/52
WANDA,WILLIArt,8/20/53
JAMfS,LAWRENCE,10/18/67
JULIA,CRUZ,1/27/70
DOROTHY,TgOMsS,2/10/74
PATsIgIA,GRAVES,6/27/66
KIMBERLY,POPE,12/5/80
MARTHr,PARKER,5/9/66
STsPHEN,GRAY,8/1/84
JOAN,ROWE,12/31/82
RAYMOND,WALKER,9/3/88
