firstname,surname,birthdate,zip_codes
0,ANNA,EDWARDS,1969-12-23,11226
1,KIMBERLY,LEWIS,1991-08-31,11226
2,DOROTHY,WILLIAMS,1996-11-08,11226
3,GLORIA,BANKS,1968-04-03,11226
4,MARIA,WEST,1960-04-13,11226
5,DOROTHY,INGRAM,1999-09-23,11377
6,ANGELA,ANDERSON,1967-11-11,11227
7,MICHELLE,HALE,1982-10-15,11227
8,PAMELA,TAYLOR,1959-09-01,11226
9,IRENE,PHILLIPS,1995-06-03,11226
10,KATHLEEN,HOOD,1960-03-20,11226
11,LOIS,UNDERWOOD,1990-09-30,11226
12,DONNA,LOPEZ,1955-12-23,11226
13,MARIA,DURHAM,1950-08-21,11377
14,ALICE,HARPER,1961-09-19,11227
15,SHARON,WILLIAMS,1989-08-26,11226
16,MICHELLE,MEJIA,1991-10-03,11226
17,MARY,SMITH,1978-03-18,11377
18,MARY,THOMAS,1954-10-04,11226
19,DONNA,GIBSON,1953-04-29,11226
20,MARY,JONES,1977-07-09,11377
21,DEBORAH,MORRIS,1968-09-11,11109
22,DOROTHY,MACK,1980-06-23,11226
23,RUTH,HOPKINS,1980-05-02,11226
24,NANCY,WALKER,1978-11-15,11226
25,SANDRA,EVANS,1987-12-08,11109
26,MARGARET,YOUNG,1948-02-15,11377
27,BONNIE,JENSEN,1970-04-11,11377
28,KAREN,CURRY,1985-03-16,11226
29,CATHERINE,DANIELS,1985-03-26,11226
30,JULIE,WRIGHT,1961-07-12,11377
31,JENNIFER,CARTER,1954-12-10,11226
32,BETTY,FIGUEROA,1968-05-31,11226
33,MARIA,CHASE,1976-06-21,11226
34,LOUISE,MULLEN,1952-06-06,11227
35,MELISSA,SILVA,1970-01-05,11227
36,JENNIFER,BRYAN,1992-09-11,11227
37,PAMELA,SOSA,1951-12-25,11226
38,JEAN,SUMMERS,1997-01-24,11227
39,SANDRA,MATTHEWS,1998-03-22,11377
40,MARTHA,ODONNELL,1964-12-10,11227
41,DEBORAH,WALTERS,1956-08-18,11227
42,HELEN,SMITH,1966-02-18,11109
43,FRANCES,LAMBERT,1946-10-09,11226
44,MILDRED,CARTER,1950-02-06,11227
45,MARY,SMITH,1952-01-15,11226
46,LINDA,KELLEY,1950-11-30,11226
47,AMY,WHEELER,1965-12-19,11226
48,EVELYN,FORD,1947-02-01,11227
49,DIANE,HOWELL,1969-04-29,11226
50,ANNA,BARR,1989-10-14,11109
51,BETTY,MARTINEZ,1947-08-04,11227
52,FRANCES,JOHNSON,1942-06-24,11226
53,NANCY,DELEON,1957-06-24,11226
54,KELLY,HENDRICKS,1945-09-21,11226
55,VIRGINIA,FLOYD,1986-09-27,11227
56,DONNA,WATTS,1980-01-31,11226
57,DONNA,SCOTT,1986-11-11,11227
58,SHIRLEY,AGUILAR,1956-01-26,11226
59,ANDREA,BRYANT,1948-10-01,11226
60,KATHERINE,CARRILLO,1996-08-17,11109
61,SANDRA,POWERS,1941-07-20,11227
62,AMY,GUZMAN,1953-02-27,11227
63,LOUISE,REYNOLDS,1961-11-06,11227
64,DONNA,DOYLE,1994-01-03,11226
65,MARY,MCLEOD,1969-03-02,11227
66,THERESA,MELTON,1992-07-16,11227
67,DORIS,ADAMS,1955-06-25,11226
68,ANGELA,BLAIR,1979-05-31,11377
69,CHRISTINA,GARCIA,1964-07-10,11377
70,MARY,DAWSON,1973-10-06,11226
71,PAMELA,HIGGINS,1978-10-30,11227
72,MARTHA,HOWELL,1987-05-27,11109
73,VIRGINIA,ZIMMERMAN,1985-07-31,11226
74,ELIZABETH,HAMMOND,1963-04-25,11226
75,KATHRYN,MILLER,1964-01-25,11226
76,KAREN,WONG,1966-10-26,11109
77,MARGARET,WELLS,1973-03-18,11109
78,LISA,LARA,1955-12-27,11227
79,MARIA,GOFF,1976-01-27,11226
80,PATRICIA,CLARK,1987-01-05,11109
81,CAROL,JENSEN,1962-06-22,11226
82,JANICE,HAMILTON,1940-03-08,11226
